_id,address.building,address.coord,address.street,address.zipcode,borough,cuisine,grades,name,restaurant_id
623dfc93033c411989315b1b,7905,"[-73.8740217,40.7135015]",Metropolitan Avenue,11379,Queens,Bagels/Pretzels,"[{""date"":{""$date"":""2014-09-17T00:00:00Z""},""grade"":""A"",""score"":10},{""date"":{""$date"":""2014-01-16T00:00:00Z""},""grade"":""B"",""score"":23},{""date"":{""$date"":""2013-08-07T00:00:00Z""},""grade"":""A"",""score"":10},{""date"":{""$date"":""2013-02-21T00:00:00Z""},""grade"":""B"",""score"":27},{""date"":{""$date"":""2012-06-20T00:00:00Z""},""grade"":""B"",""score"":27},{""date"":{""$date"":""2012-01-31T00:00:00Z""},""grade"":""B"",""score"":18}]",Hot Bagels,40363565
623dfc93033c411989315b1c,87-69,"[-73.8309503,40.7001121]",Lefferts Boulevard,11418,Queens,American ,"[{""date"":{""$date"":""2014-02-25T00:00:00Z""},""grade"":""A"",""score"":7},{""date"":{""$date"":""2013-08-14T00:00:00Z""},""grade"":""A"",""score"":11},{""date"":{""$date"":""2012-08-07T00:00:00Z""},""grade"":""A"",""score"":7},{""date"":{""$date"":""2012-03-26T00:00:00Z""},""grade"":""A"",""score"":10},{""date"":{""$date"":""2011-11-04T00:00:00Z""},""grade"":""A"",""score"":0},{""date"":{""$date"":""2011-06-29T00:00:00Z""},""grade"":""A"",""score"":4}]",Snack Time Grill,40363590
623dfc93033c411989315b1d,1418,"[-73.95685019999999,40.7753401]",Third Avenue,10028,Manhattan,Continental,"[{""date"":{""$date"":""2014-06-02T00:00:00Z""},""grade"":""A"",""score"":9},{""date"":{""$date"":""2013-12-27T00:00:00Z""},""grade"":""A"",""score"":8},{""date"":{""$date"":""2013-03-18T00:00:00Z""},""grade"":""B"",""score"":26},{""date"":{""$date"":""2012-02-01T00:00:00Z""},""grade"":""A"",""score"":7},{""date"":{""$date"":""2011-07-06T00:00:00Z""},""grade"":""B"",""score"":25}]","Lorenzo & Maria'S",40363630
623dfc93033c411989315b1e,464,"[-73.9791458,40.744328]",3 Avenue,10016,Manhattan,Pizza,"[{""date"":{""$date"":""2014-08-05T00:00:00Z""},""grade"":""A"",""score"":3},{""date"":{""$date"":""2014-03-06T00:00:00Z""},""grade"":""A"",""score"":11},{""date"":{""$date"":""2013-07-09T00:00:00Z""},""grade"":""A"",""score"":12},{""date"":{""$date"":""2013-01-30T00:00:00Z""},""grade"":""A"",""score"":4},{""date"":{""$date"":""2012-01-05T00:00:00Z""},""grade"":""A"",""score"":2},{""date"":{""$date"":""2011-09-26T00:00:00Z""},""grade"":""A"",""score"":0}]","Domino'S Pizza",40363644
623dfc93033c411989315b1f,437,"[-73.975393,40.757365]",Madison Avenue,10022,Manhattan,American ,"[{""date"":{""$date"":""2014-06-03T00:00:00Z""},""grade"":""A"",""score"":9},{""date"":{""$date"":""2013-06-07T00:00:00Z""},""grade"":""A"",""score"":5},{""date"":{""$date"":""2012-06-29T00:00:00Z""},""grade"":""A"",""score"":12},{""date"":{""$date"":""2012-02-06T00:00:00Z""},""grade"":""A"",""score"":11},{""date"":{""$date"":""2011-06-23T00:00:00Z""},""grade"":""A"",""score"":13}]",Berkely,40363685
623dfc93033c411989315b20,1031,"[-73.9075537,40.6438684]",East   92 Street,11236,Brooklyn,American ,"[{""date"":{""$date"":""2014-02-05T00:00:00Z""},""grade"":""A"",""score"":0},{""date"":{""$date"":""2013-01-29T00:00:00Z""},""grade"":""A"",""score"":3},{""date"":{""$date"":""2011-12-08T00:00:00Z""},""grade"":""A"",""score"":10}]","Sonny'S Heros",40363744
623dfc93033c411989315b21,1111,"[-74.0796436,40.59878339999999]",Hylan Boulevard,10305,Staten Island,"Ice Cream, Gelato, Yogurt, Ices","[{""date"":{""$date"":""2014-04-24T00:00:00Z""},""grade"":""A"",""score"":12},{""date"":{""$date"":""2013-02-26T00:00:00Z""},""grade"":""A"",""score"":5},{""date"":{""$date"":""2012-02-02T00:00:00Z""},""grade"":""A"",""score"":2}]",Carvel Ice Cream,40363834
623dfc93033c411989315b22,976,"[-73.92701509999999,40.6620192]",Rutland Road,11212,Brooklyn,Chinese,"[{""date"":{""$date"":""2014-04-23T00:00:00Z""},""grade"":""A"",""score"":13},{""date"":{""$date"":""2013-03-26T00:00:00Z""},""grade"":""A"",""score"":10},{""date"":{""$date"":""2012-03-13T00:00:00Z""},""grade"":""A"",""score"":4},{""date"":{""$date"":""2011-11-16T00:00:00Z""},""grade"":""A"",""score"":13}]",Golden Pavillion,40363920
623dfc93033c411989315b23,148,"[-73.9806854,40.7778589]",West   72 Street,10023,Manhattan,Pizza,"[{""date"":{""$date"":""2014-12-08T00:00:00Z""},""grade"":""A"",""score"":13},{""date"":{""$date"":""2014-05-05T00:00:00Z""},""grade"":""B"",""score"":18},{""date"":{""$date"":""2013-04-05T00:00:00Z""},""grade"":""A"",""score"":13},{""date"":{""$date"":""2012-03-30T00:00:00Z""},""grade"":""A"",""score"":9}]","Domino'S Pizza",40363945
623dfc93033c411989315b24,364,"[-73.96084119999999,40.8014307]",West  110 Street,10025,Manhattan,American ,"[{""date"":{""$date"":""2014-09-04T00:00:00Z""},""grade"":""B"",""score"":20},{""date"":{""$date"":""2014-02-26T00:00:00Z""},""grade"":""B"",""score"":23},{""date"":{""$date"":""2013-03-25T00:00:00Z""},""grade"":""A"",""score"":12},{""date"":{""$date"":""2012-02-21T00:00:00Z""},""grade"":""A"",""score"":8}]",Spoon Bread Catering,40364179
